,generated_text
79,"When [CARDNAME] enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
When [CARDNAME] enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
({T}: Add {W}.)
({T}: Add {W}.)
({T}: Add {U}.)
({T}: Add {U}.)
({"
80,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, return target creature card with mana value less than or equal to [CARDNAME]'s power from your graveyard to the battlefield.
When [CARDNAME] enters the battlefield, you may return target creature card with mana value less than or equal to [CARDNAME]'s power from your graveyard to the battlefield.
When [CARDNAME] enters the battlefield, you may return target creature card with mana value less than or equal"
81,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to target creature an opponent controls.\n{T}: Add {C}.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}: Put a +1/+1 counter on [CARDNAME].
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}: Put a +1/+1 counter"
82,"When [CARDNAME] enters the battlefield, you may put target creature card from your graveyard on top of your library.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it"
83,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to target creature.\n{2}{R}, {T}, Sacrifice [CARDNAME]: Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Enchant creature\nEnchanted creature gets +2/+2 as long as it's attacking.
{T}: [CARDNAME] deals 1 damage to target attacking or blocking creature.
Flying\nWhenever [CARDNAME] attacks, you may pay {X}. If"
84,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, create a 1/1 white Human Soldier creature token.\n{2}{W}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] deals 3 damage to any target.\nAt the beginning of each player's upkeep, that player may pay {X}. If they do, that player discards X cards."
85,"When [CARDNAME] enters the battlefield, if it was kicked, it deals 3 damage to target creature.\n{B}: Regenerate [CARDNAME].
All creatures able to block [CARDNAME] do so.
Flying\n{G}, {T}: Target creature can't be blocked this turn.
{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}, Sacrifice [CARDNAME]: Search"
86,"When [CARDNAME] enters the battlefield, exile target artifact, creature, enchantment, or land.\n{T}: Add {W}.
At the beginning of your upkeep, you may pay {1}. If you do, return [CARDNAME] from your graveyard to your hand.
Flying\nWhenever [CARDNAME] deals combat damage to a player, you may draw a card.
Flying\nWhenever [CARDNAME] deals combat damage to a player, you may draw a card.
When"
87,"When [CARDNAME] enters the battlefield, it deals 4 damage to target attacking or blocking creature.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {G}.\n{T}, Remove a charge counter from [CARDNAME]: Add one mana of any color.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {G}.\n{T}, Remove a charge counter from [CARDNAME]: Add one mana of any color.
[CARD"
88,"When [CARDNAME] enters the battlefield, you may sacrifice a creature. When you do, target creature gets +3/+3 and gains trample until end of turn.
{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a legendary spell.
{T}, Sacrifice [CARDNAME]: Search your library for a legendary creature card with mana value less than or equal to [CARDNAME]'s power, put it onto the battlefield, then shuffle."
89,"When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{T}: Add {U} or {B}. Activate only if [CARDNAME] is tapped.
When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.\nWhenever another creature enters the battlefield under your control, you may sacrifice [CARDNAME]. If you"
90,"When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.
[CARDNAME] enters the battlefield tapped.\nWhen [CARDNAME] enters the battlefield, you may tap target creature. If you do, create a tapped 1/1 white Human Soldier creature token.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}:"
91,"When [CARDNAME] enters the battlefield, if it's a creature, it becomes a copy of target creature with power 4 or greater until end of turn.
Flying\nWhen [CARDNAME] enters the battlefield, if you cast it, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
You may have [CARDNAME] enter the battlefield as a copy of any creature on the battlefield, except it has this ability.
At the beginning of each player"
92,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
When [CARDNAME] enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
When [CARDNAME] enters the battlefield, return target creature to its owner's hand.
When [CARDNAME] enters the battlefield, target opponent loses 2 life.
When [CARD"
93,"When [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to your hand.
{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {C}.\n{T}, Remove a"
94,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to target creature an opponent controls.
Whenever [CARDNAME] attacks, you may sacrifice a land. When you do, draw a card.
As [CARDNAME] enters the battlefield, choose an opponent.\nYou and target opponent each gain control of target creature that player controls that player controls.
{1}{W}, {T}: Target creature gains flying until end of turn.
{T}: Add {W}.
{"
95,"When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.\n{1}{W}, {T}, Sacrifice [CARDNAME]: Destroy target nonbasic land.
{T}: Add {W}.\n{1}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}: Add {C}.\n{1}, {T}, Sacrifice [CARDNAME]: Search your"
96,"When [CARDNAME] enters the battlefield, you may return target creature card with mana value 4 or less from your graveyard to your hand.
Whenever you cast an instant or sorcery spell, put a +1/+1 counter on [CARDNAME].
Whenever you cast an instant or sorcery spell, put a +1/+1 counter on [CARDNAME].
Whenever a creature you control attacks, you may draw a card.
Whenever you cast an instant or sorcery spell, put a +1/+1 counter on [C"
97,"When [CARDNAME] enters the battlefield, target creature gets +1/+1 until end of turn for each other creature you control.
Whenever a creature you control with power 5 or greater dies, you may return target creature card with mana value 3 or less from your graveyard to the battlefield.
When [CARDNAME] enters the battlefield, target player mills two cards.
{T}, Discard a card: [CARDNAME] deals 1 damage to any target.
When [CARDNAME] enters the battlefield,"
98,"When [CARDNAME] enters the battlefield, if an opponent controls no creatures, you may pay {1}. If you do, create a 1/1 white Human Soldier creature token.
Whenever [CARDNAME] attacks, defending player sacrifices a creature.
Whenever [CARDNAME] attacks, defending player sacrifices a creature.
Whenever [CARDNAME] attacks, defending player sacrifices a creature.
Whenever [CARDNAME] attacks, defending player sacrifices a creature.
Whenever [CARDNAME] attacks, defending player"
99,"When [CARDNAME] enters the battlefield, you may return target creature card with mana value less than or equal to [CARDNAME]'s power from your graveyard to your hand.
When [CARDNAME] enters the battlefield, you may return target creature card with mana value less than or equal to [CARDNAME]'s power from your graveyard to your hand.
Destroy all creature tokens.
Destroy all creatures.
Destroy all creatures.
Destroy all creatures.
Destroy all creatures.
Destroy all creatures.
"
