,generated_text
86,"When [CARDNAME] enters the battlefield, draw seven cards.\n{3}, {T}: Create a 1/1 green and white Citizen creature token with flying named Wasp.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: Whenever a player casts a spell, you may pay {1}. If you do, you gain 1 life.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: Whenever a player casts"
87,"When [CARDNAME] enters the battlefield, create a token that's a copy of a permanent that's tapped and attacking you.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Add one mana of any color.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Add one mana of any color."
88,"When [CARDNAME] enters the battlefield, it deals 1 damage to you.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Put a charge counter on [CARDNAME].\n{1}, {T}, Remove a charge counter from [CARDNAME]: Create a 0/1 blue Bird creature token with flying. (A flying creature with flying is a creature with flying.)
This is a nan, Artifact magic card with manac"
89,"When [CARDNAME] enters the battlefield, exile it.\n{T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Put a charge counter on [CARDNAME].\n{2}, {T}, Remove a charge counter from [CARDNAME]: Create a 1/1 blue and white Citizen creature token with vigilance. (It can't be blocked except by creatures with flying or reach.)
"
90,"When [CARDNAME] enters the battlefield, draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Draw a card, then discard a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T"
91,"When [CARDNAME] enters the battlefield or is put into a graveyard from the battlefield, draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: Whenever a player casts a green spell, you may pay {2}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with man"
92,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on target creature.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Draw a card, then discard a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Draw a card, then discard a card.
This is a nan, Artifact magic card with manacost {"
93,"When [CARDNAME] enters the battlefield, target opponent mills X cards, where X is the number of cards in their graveyard.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Create a 1/1 colorless Pilot creature token with flying named Pilot.\n{2}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text"
94,"When [CARDNAME] enters the battlefield or is put into a graveyard from the battlefield, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}: Target creature can't be blocked this turn.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {2}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {1}. This is"
95,"When [CARDNAME] enters the battlefield, target opponent mills cards equal to the number of cards in their graveyard.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {"
96,"When [CARDNAME] enters the battlefield, draw a card.\n{T}, Remove a card from your graveyard: Create a 2/2 colorless Djinn artifact creature token with flying named Djinn. (It can't be the target of spells or abilities your opponents control.)
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {T}, Sacrifice [CARDNAME]: Search your library for a card, put it onto the battlefield tapped, then shuffle.
This"
97,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {2}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with man"
98,"When [CARDNAME] enters the battlefield, draw a card.\n{T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}."
99,"When [CARDNAME] enters the battlefield, draw a card.\n{T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: You gain 3 life.\n{4}, {T}: Destroy all artifacts, creatures, and enchantments.
This"
